"usuario" "activity" "value"
"1" 1 "WALKING" -0.432336476746262
"2" 2 "WALKING" -0.484354200389954
"3" 3 "WALKING" -0.516278096730234
"4" 4 "WALKING" -0.565781093804343
"5" 4 "WALKING_UPSTAIRS" -0.472137551356908
"6" 5 "WALKING" -0.47401716051345
"7" 6 "WALKING" -0.544721441175739
"8" 6 "WALKING_UPSTAIRS" -0.163659211409039
"9" 7 "WALKING_UPSTAIRS" -0.477813443486587
"10" 8 "WALKING_UPSTAIRS" -0.44742926376224
"11" 9 "WALKING_UPSTAIRS" -0.496069876270827
"12" 10 "WALKING_DOWNSTAIRS" -0.410527588498717
"13" 10 "WALKING_UPSTAIRS" -0.727677663801646
"14" 11 "WALKING_UPSTAIRS" -0.531254281942335
"15" 12 "SITTING" -0.47008687354262
"16" 12 "WALKING_DOWNSTAIRS" -0.538753322812872
"17" 13 "SITTING" -0.4937357488463
"18" 14 "WALKING_DOWNSTAIRS" -0.349382655444632
"19" 14 "WALKING_UPSTAIRS" -0.732244135496676
"20" 15 "WALKING_DOWNSTAIRS" -0.516643969367011
"21" 16 "WALKING_DOWNSTAIRS" -0.573367533002095
"22" 17 "SITTING" -0.518665845831227
"23" 17 "WALKING_DOWNSTAIRS" -0.750684437013792
"24" 18 "SITTING" -0.734326550154759
"25" 18 "STANDING" -0.569301538477219
"26" 19 "SITTING" -0.481148503879065
"27" 20 "LAYING" -0.428802011440278
"28" 20 "STANDING" -0.500484616852892
"29" 21 "SITTING" -0.555815573584167
"30" 22 "SITTING" -0.552990944608636
"31" 22 "STANDING" -0.429128417954301
"32" 23 "STANDING" -0.461933818915804
"33" 24 "LAYING" -0.548069490624763
"34" 25 "STANDING" -0.560863003936703
"35" 26 "STANDING" -0.54411254578534
"36" 27 "LAYING" -0.512587171886004
"37" 27 "STANDING" -0.740041714614131
"38" 28 "LAYING" -0.54431572195969
"39" 29 "LAYING" -0.516081281163507
"40" 30 "LAYING" -0.500349794475957
